,0,1,2,3,4,5,6
380,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
381,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
382,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
383,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
384,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
385,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
386,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
387,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
388,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
389,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
390,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
391,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
392,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
393,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
394,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
395,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
396,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
397,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
398,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
399,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
400,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
401,2014-06-09,70.8,0,28.7,22.9,18.5,176.8181818
402,2014-06-10,72,5.5,29.3,23.6,20,460.1818182
403,2014-06-11,87.1,19,26.9,20.5,18.3,224.3636364
404,2014-06-12,73.9,0.1,27.1,21.2,17.3,221.0909091
405,2014-06-13,79,0,25.8,21.3,18.4,1800.181818
406,2014-05-17,48,0,26.2,20,14.3,57
407,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
408,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
409,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
410,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
411,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
412,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
413,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
414,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
415,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
416,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
417,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
418,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
419,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
420,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
421,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
422,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
423,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
424,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
425,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
426,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
427,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
